Kv,Ka,Ks,Error
0.014,0.002,0.000,1.2189294426307
0.015,0.002,0.000,0.735775863219171
0.016,0.002,0.000,0.59536317106284
0.017,0.002,0.000,0.897757608832908
0.018,0.002,0.000,1.17959602441065
0.019,0.002,0.000,1.81685302290059
0.020,0.002,0.000,2.15321426032028
0.021,0.002,0.000,2.78422119685994
0.022,0.002,0.000,3.1195702601411
0.023,0.002,0.000,3.85430697159554
0.024,0.002,0.000,4.34039843425653
0.016,0.000,0.000,1.61811090957121
0.016,0.001,0.000,0.822431749735204
0.016,0.002,0.000,0.646525190516074
0.016,0.003,0.000,1.26887571099639
0.016,0.004,0.000,1.94704533269902
0.016,0.005,0.000,2.82851006262774
0.016,0.006,0.000,3.61847359196543
0.016,0.007,0.000,4.33869888772913
0.016,0.008,0.000,5.15740002599448
0.016,0.009,0.000,5.87200017969478
0.016,0.010,0.000,6.65647103244795
0.016,0.002,-0.03,-4.634843257564923
0.016,0.002,-0.02,-3.652000640628015
0.016,0.002,-0.01,-3.4833101807099722
0.016,0.002,0.000,-2.484402276506431
0.016,0.002,0.010,-1.892721091242786
0.016,0.002,0.020,-1.4764056526570895
0.016,0.002,0.030,-1.1748292529329005
0.016,0.002,0.040,-0.23834381990082845
0.016,0.002,0.050,0.7164058265775299
0.016,0.002,0.060,0.8448246922255938
0.016,0.002,0.070,1.803061188632268
0.016,0.002,0.080,1.9455507296684984